window_start,window_stop,window_size,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29,lane_07_share
1,3000,3000,427,50,55,53,54,56,48,55,56,0.1288056206088993
3001,6000,3000,353,42,43,49,47,44,45,42,41,0.12181303116147309
6001,9000,3000,334,43,43,36,39,41,43,46,43,0.12874251497005987
9001,12000,3000,321,40,41,40,39,39,39,40,43,0.1277258566978193
12001,15000,3000,316,35,40,42,42,42,37,38,40,0.12658227848101267
15001,18000,3000,310,42,38,39,37,42,43,37,32,0.12258064516129032
18001,21000,3000,296,34,36,40,41,31,37,38,39,0.12162162162162163
21001,24000,3000,308,40,35,40,38,46,36,34,39,0.11363636363636363
24001,27000,3000,293,37,35,35,34,36,36,44,36,0.11945392491467577
27001,30000,3000,284,39,41,32,35,34,31,34,38,0.1443661971830986
