source,target,weight,correlation,cosine_similarity,covariance
01,17,0.8587055399005019,0.6005892867234356,0.9928881374120841,12.469820025769982
07,23,0.8441516511517774,0.5591143346761869,0.9927323484180175,11.228957978303336
13,29,0.842040250390051,0.5353942601740472,0.9912625499473179,12.16516480319216
19,23,0.8401169996852235,0.5452413833859587,0.9923399410929086,11.051531651357077
07,11,0.8355548769280114,0.5409476787108347,0.9929734231374242,10.116750488382731
11,23,0.8314967306819655,0.5233262306782122,0.9923709716799771,10.159570223201294
13,17,0.8297953360222222,0.495231713687373,0.9902529244792283,11.501849619684927
13,23,0.8286729149265893,0.5010518619111315,0.9910785886677078,10.826613741219493
07,13,0.8200872269963642,0.47887819284149663,0.9910059400180201,9.96822810590632
11,29,0.8199323972142221,0.4807302953629898,0.9911603392405566,9.813832661374125
17,29,0.8180014936619185,0.457702360285353,0.9894224462246303,10.785061723263642
17,19,0.8177336260167377,0.46643524164329453,0.9902104286999434,10.16188536514402
11,13,0.8167938581482886,0.4724836109663671,0.9911400827250091,9.507003616110405
07,29,0.8156898978149825,0.46343607619121663,0.9906244548603466,9.787302049129215
01,11,0.8153942208938681,0.48013439893625726,0.9922350360339321,8.63660584396692
01,13,0.8146057962832581,0.466275967762539,0.9909653252164677,9.335346440001661
17,23,0.8123927746906845,0.4465734960978231,0.9897030120051864,10.006866453302294
11,19,0.8116240654471205,0.46286449584205136,0.9915707566883264,8.736439586017708
01,29,0.8107735312283884,0.45257178222612926,0.9906150378057852,9.1929548194023
01,23,0.810731285237992,0.45763046958263043,0.9912490739357935,8.839918533604893
11,17,0.8085914618995003,0.4427992255538997,0.990220768813544,9.239723180514572
07,19,0.8044138862384137,0.4362392255032136,0.9908755194710601,8.518072239078938
19,29,0.8039949810454408,0.4261492549422444,0.9897772677000632,9.083008437590925
01,07,0.8025042896658773,0.43483442757009577,0.9912681855813836,8.091707884783245
13,19,0.7990448960789982,0.4122063193339103,0.9896542518626699,8.659690760214472
07,17,0.791006037485443,0.3845382734683838,0.9889340577256096,8.300947670310489
01,19,0.787464184617834,0.38564579049435993,0.9902734712012558,7.242686728459209
23,29,0.7742424808759905,0.3312555455528178,0.9879092815983326,7.261951868323705
